你好	ni'hao	65535	128
你	ni	65000	128
尼	ni	30000	128
好	hao	65000	128
号	hao	45000	128
世界	shi'jie	65535	128
是	shi	64000	128
时	shi	60000	128
事	shi	58000	128
界	jie	63000	128
北京	bei'jing	65535	128
北	bei	62000	128
京	jing	62000	128
背景	bei'jing	41000	128
中国	zhong'guo	65535	128
中	zhong	64000	128
国	guo	64000	128
我爱你	wo'ai'ni	65535	128
我	wo	65000	128
爱	ai	64000	128
谢谢	xie'xie	65000	128
谢	xie	62000	128
再见	zai'jian	64000	128
再	zai	60000	128
见	jian	61000	128
输入法	shu'ru'fa	65000	128
输入	shu'ru	63000	128
法	fa	59000	128
拼音	pin'yin	65000	128
拼	pin	58000	128
音	yin	60000	128
中文	zhong'wen	65000	128
文字	wen'zi	61000	128
词	ci	62000	128
瓷	ci	45000	128
吃	chi	63000	128
北京大学	bei'jing'da'xue	62000	128
上海	shang'hai	64000	128
广州	guang'zhou	62000	128
深圳	shen'zhen	62000	128
天气	tian'qi	63000	128
今天	jin'tian	64000	128
明天	ming'tian	62000	128
工作	gong'zuo	63000	128
学习	xue'xi	63000	128
生活	sheng'huo	62000	128
时间	shi'jian	64000	128
朋友	peng'you	62000	128
我们	wo'men	64000	128
他们	ta'men	61000	128
可以	ke'yi	64000	128
没有	mei'you	63000	128
这个	zhe'ge	64000	128
